artist_name,is_indian
Lucky Ali,True
Shankar Mahadevan,True
SUKHWINDER SINGH,True
Madhur Sharma,
Divya Kumar,True
Bandish Projekt,
Ishani Dave,False
Gotye,False
Linkin Park,False
Shashwat Sachdev,True
Pritam,True
Shankar Ehsaan Loy,True
Daarrrsssshhhhh,
Faheem Abdullah,True
Kirtidan Gadhvi,
Doja Cat,False
Shubh,True
DrINsaNE,
VISHAL DADLANI,True
Palash Sen,True
Aniruddha Sastry,
GurvinderSidhuu,
Lynyrd Skynyrd,False
Enrique Iglesias,False
Vishaldan Gadhvi,True
Rakesh Barot,
SJ,False
Salim-Sulaiman,True
Praful Dave,
Aditya Gadhvi,True
Alka Yagnik,True
RAMZAT STUDIO KALOL,False
Guru Randhawa,True
K.Bharat Jangid,True
Supertone Digital,
SANJAY DUTT,
Stromae,False
Kendrick Lamar,False
Aditya ,False
Digv,
Tabla and Sons,False
Dhananjay Mhaskar,
Nikhita Gandhi,True
Hrutul,
Maestro,False
ABHIJEET BHATTACHARYA,
Adnan Sami | Amitabh Bachchan,
DJ Shadow,False
Amit Trivedi & Jaishri Trivedi,True
Shalmali Kholgade,True
Javed Ali,True
Bilal Saeed,
Ram Sampath ,True
Jatin-Lalit,True
NEERAJ SHRIDHAR,True
Mithoon,True
Roop Kumar Rathod,True
Atif Aslam,False
Pritam Chakraborty,True
FARHAN AKHTAR,True
Aishwarya Majmudar,True
Music Studio ,False
Connie Francis,False
Keerthi Sagathia,True
Santvani Trivedi,True
NESCAFÉ Basement,False
Zeeshan Ali,False
Sachin-Jigar,True
Rapperiya Baalam,True
Vishal Dadlani,True
Asha Bhosle,True
Alisha Chinai,True
GowraHari,
Dhvani Bhanushali,True
SHAAN,True
Aman Hayer,False
VISHAL-SHEKHAR,True
Galantis,False
Kumar Sanu,True
Justin Bieber,False
KAROL G,False
Thaman S,True
Sona Mohapatra | Ravindra Upadhyay,True
Udit Narayan,True
YRF,
"Chet Dixon,Devu Khan Manganiyar",
Lady Gaga,False
Sonika Sharma Agarwal,
RDB,False
Benny Dayal,False
K.K. | Suchitra,False
MOHIT CHAUHAN,True
Mika Singh,False
Neeraj Shridhar,True
Jeet Gannguli,True
Arijit Singh,True
Amit Trivedi,True
Veronica Mehta & Juggy D.,False
SONU NIGAM,True
Hemant Kumar,True
Talat Mahmood,True
Kishore Kumar,True
John Legend,False
Various Artist,
B. Ajaneesh Loknath,True
REKHA BHARDWAJ,True
Dolla50,
Collie Buddz,False
Rishab Rikhiram Sharma,
Alexander Rybak,False
Shailendra Singh,
Anirudh Ravichander,True
